loss,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.2167,1.9934576253408854e-05,0.03,500,,,,,,,,,,
0.0186,1.98690213971051e-05,0.05,1000,,,,,,,,,,
0.0155,1.9803466540801343e-05,0.08,1500,,,,,,,,,,
0.0161,1.9737911684497587e-05,0.1,2000,,,,,,,,,,
0.0163,1.9672356828193835e-05,0.13,2500,,,,,,,,,,
0.0152,1.960680197189008e-05,0.16,3000,,,,,,,,,,
0.0145,1.9541247115586323e-05,0.18,3500,,,,,,,,,,
0.0148,1.947569225928257e-05,0.21,4000,,,,,,,,,,
0.0135,1.9410137402978815e-05,0.24,4500,,,,,,,,,,
0.0131,1.934458254667506e-05,0.26,5000,,,,,,,,,,
0.0135,1.9279027690371304e-05,0.29,5500,,,,,,,,,,
0.0151,1.921347283406755e-05,0.31,6000,,,,,,,,,,
0.0124,1.9147917977763795e-05,0.34,6500,,,,,,,,,,
0.0131,1.908236312146004e-05,0.37,7000,,,,,,,,,,
0.0127,1.9016808265156284e-05,0.39,7500,,,,,,,,,,
0.0202,1.8951646737990353e-05,0.42,8000,,,,,,,,,,
0.0138,1.8886091881686597e-05,0.45,8500,,,,,,,,,,
0.0124,1.882053702538284e-05,0.47,9000,,,,,,,,,,
0.0132,1.875498216907909e-05,0.5,9500,,,,,,,,,,
0.0127,1.8689427312775333e-05,0.52,10000,,,,,,,,,,
0.0119,1.8623872456471578e-05,0.55,10500,,,,,,,,,,
0.0132,1.8558317600167822e-05,0.58,11000,,,,,,,,,,
0.012,1.8492762743864066e-05,0.6,11500,,,,,,,,,,
0.0134,1.8427207887560314e-05,0.63,12000,,,,,,,,,,
0.0135,1.8361653031256558e-05,0.66,12500,,,,,,,,,,
0.0131,1.8296098174952802e-05,0.68,13000,,,,,,,,,,
0.012,1.8230543318649047e-05,0.71,13500,,,,,,,,,,
0.0119,1.816498846234529e-05,0.73,14000,,,,,,,,,,
0.0135,1.8099433606041535e-05,0.76,14500,,,,,,,,,,
0.0141,1.803387874973778e-05,0.79,15000,,,,,,,,,,
0.0133,1.7968323893434027e-05,0.81,15500,,,,,,,,,,
0.011,1.790276903713027e-05,0.84,16000,,,,,,,,,,
0.012,1.7837214180826516e-05,0.87,16500,,,,,,,,,,
0.0137,1.7771659324522763e-05,0.89,17000,,,,,,,,,,
0.0115,1.7706104468219007e-05,0.92,17500,,,,,,,,,,
0.0194,1.7640942941053073e-05,0.94,18000,,,,,,,,,,
0.0125,1.7575388084749317e-05,0.97,18500,,,,,,,,,,
0.0131,1.7509833228445565e-05,1.0,19000,,,,,,,,,,
,,1.0,19068,0.011908537708222866,0.9721253441720205,887.1092,85.976,5.374,,,,,
0.0108,1.744427837214181e-05,1.02,19500,,,,,,,,,,
0.0121,1.7378723515838054e-05,1.05,20000,,,,,,,,,,
0.0117,1.73131686595343e-05,1.08,20500,,,,,,,,,,
0.0128,1.7247613803230545e-05,1.1,21000,,,,,,,,,,
0.0129,1.718205894692679e-05,1.13,21500,,,,,,,,,,
0.0121,1.7116504090623034e-05,1.15,22000,,,,,,,,,,
0.0126,1.705094923431928e-05,1.18,22500,,,,,,,,,,
0.0122,1.6985394378015526e-05,1.21,23000,,,,,,,,,,
0.0126,1.691983952171177e-05,1.23,23500,,,,,,,,,,
0.0119,1.6854284665408014e-05,1.26,24000,,,,,,,,,,
0.0124,1.6788729809104262e-05,1.28,24500,,,,,,,,,,
0.0126,1.6723174952800506e-05,1.31,25000,,,,,,,,,,
0.0132,1.665762009649675e-05,1.34,25500,,,,,,,,,,
0.0124,1.6592065240192995e-05,1.36,26000,,,,,,,,,,
0.0132,1.652651038388924e-05,1.39,26500,,,,,,,,,,
0.0119,1.6460955527585483e-05,1.42,27000,,,,,,,,,,
0.0125,1.639540067128173e-05,1.44,27500,,,,,,,,,,
0.0115,1.6329976924690583e-05,1.47,28000,,,,,,,,,,
0.0124,1.6264422068386828e-05,1.49,28500,,,,,,,,,,
0.0111,1.6198867212083072e-05,1.52,29000,,,,,,,,,,
0.0112,1.613331235577932e-05,1.55,29500,,,,,,,,,,
0.0131,1.606788860918817e-05,1.57,30000,,,,,,,,,,
0.0113,1.6002333752884416e-05,1.6,30500,,,,,,,,,,
0.0114,1.593677889658066e-05,1.63,31000,,,,,,,,,,
0.0121,1.5871224040276905e-05,1.65,31500,,,,,,,,,,
0.0129,1.5805800293685757e-05,1.68,32000,,,,,,,,,,
0.0106,1.5740245437382002e-05,1.7,32500,,,,,,,,,,
0.0123,1.5674690581078246e-05,1.73,33000,,,,,,,,,,
0.0115,1.5609135724774494e-05,1.76,33500,,,,,,,,,,
0.0122,1.5543843087895954e-05,1.78,34000,,,,,,,,,,
0.0131,1.5478419341304804e-05,1.81,34500,,,,,,,,,,
0.0126,1.541286448500105e-05,1.84,35000,,,,,,,,,,
0.0125,1.5347309628697296e-05,1.86,35500,,,,,,,,,,
0.012,1.528175477239354e-05,1.89,36000,,,,,,,,,,
0.0123,1.5216199916089784e-05,1.91,36500,,,,,,,,,,
0.011,1.5150645059786032e-05,1.94,37000,,,,,,,,,,
0.0111,1.5085090203482276e-05,1.97,37500,,,,,,,,,,
0.0117,1.501953534717852e-05,1.99,38000,,,,,,,,,,
,,2.0,38136,0.011484907008707523,0.9730431362265636,882.4507,86.43,5.402,,,,,
0.0124,1.4953980490874764e-05,2.02,38500,,,,,,,,,,
0.0114,1.488842563457101e-05,2.05,39000,,,,,,,,,,
0.0123,1.4822870778267255e-05,2.07,39500,,,,,,,,,,
0.0108,1.47573159219635e-05,2.1,40000,,,,,,,,,,
0.0125,1.4691761065659745e-05,2.12,40500,,,,,,,,,,
0.0142,1.4626468428781204e-05,2.15,41000,,,,,,,,,,
0.0115,1.4560913572477452e-05,2.18,41500,,,,,,,,,,
0.0117,1.4495489825886302e-05,2.2,42000,,,,,,,,,,
0.0129,1.4429934969582548e-05,2.23,42500,,,,,,,,,,
0.0124,1.4364380113278793e-05,2.26,43000,,,,,,,,,,
0.0116,1.4298825256975037e-05,2.28,43500,,,,,,,,,,
0.0124,1.4233270400671281e-05,2.31,44000,,,,,,,,,,
0.0118,1.4167715544367529e-05,2.33,44500,,,,,,,,,,
0.0109,1.4102160688063773e-05,2.36,45000,,,,,,,,,,
0.0113,1.4036605831760017e-05,2.39,45500,,,,,,,,,,
0.0114,1.3971050975456263e-05,2.41,46000,,,,,,,,,,
0.0109,1.390549611915251e-05,2.44,46500,,,,,,,,,,
0.0131,1.3839941262848753e-05,2.46,47000,,,,,,,,,,
0.0114,1.3774648625970213e-05,2.49,47500,,,,,,,,,,
0.0121,1.3709093769666457e-05,2.52,48000,,,,,,,,,,
0.012,1.3643538913362705e-05,2.54,48500,,,,,,,,,,
0.0112,1.3577984057058949e-05,2.57,49000,,,,,,,,,,
0.0129,1.3512429200755193e-05,2.6,49500,,,,,,,,,,
0.0114,1.3446874344451437e-05,2.62,50000,,,,,,,,,,
0.0117,1.3381319488147683e-05,2.65,50500,,,,,,,,,,
0.0115,1.3315764631843927e-05,2.67,51000,,,,,,,,,,
0.0121,1.3250209775540173e-05,2.7,51500,,,,,,,,,,
0.0114,1.3184654919236418e-05,2.73,52000,,,,,,,,,,
0.011,1.3119100062932664e-05,2.75,52500,,,,,,,,,,
0.0121,1.3053545206628908e-05,2.78,53000,,,,,,,,,,
0.0115,1.2987990350325152e-05,2.81,53500,,,,,,,,,,
0.0112,1.29224354940214e-05,2.83,54000,,,,,,,,,,
0.0114,1.2856880637717644e-05,2.86,54500,,,,,,,,,,
0.0125,1.2791325781413888e-05,2.88,55000,,,,,,,,,,
0.0109,1.2725902034822741e-05,2.91,55500,,,,,,,,,,
0.0119,1.2660347178518985e-05,2.94,56000,,,,,,,,,,
0.0121,1.259479232221523e-05,2.96,56500,,,,,,,,,,
0.0112,1.2529237465911477e-05,2.99,57000,,,,,,,,,,
,,3.0,57204,0.011273077689111233,0.9733315851579913,886.6854,86.017,5.376,,,,,
0.0117,1.2463813719320328e-05,3.02,57500,,,,,,,,,,
0.0119,1.2398258863016572e-05,3.04,58000,,,,,,,,,,
0.0123,1.233270400671282e-05,3.07,58500,,,,,,,,,,
0.0112,1.2267149150409064e-05,3.09,59000,,,,,,,,,,
0.0116,1.2201594294105308e-05,3.12,59500,,,,,,,,,,
0.012,1.213617054751416e-05,3.15,60000,,,,,,,,,,
0.0113,1.2070877910635622e-05,3.17,60500,,,,,,,,,,
0.0126,1.2005323054331866e-05,3.2,61000,,,,,,,,,,
0.0117,1.193976819802811e-05,3.23,61500,,,,,,,,,,
0.0113,1.1874213341724356e-05,3.25,62000,,,,,,,,,,
0.0107,1.18086584854206e-05,3.28,62500,,,,,,,,,,
0.0114,1.1743234738829455e-05,3.3,63000,,,,,,,,,,
0.012,1.1677679882525699e-05,3.33,63500,,,,,,,,,,
0.0115,1.1612125026221943e-05,3.36,64000,,,,,,,,,,
0.0105,1.1546570169918187e-05,3.38,64500,,,,,,,,,,
0.0111,1.1481015313614435e-05,3.41,65000,,,,,,,,,,
0.012,1.141546045731068e-05,3.44,65500,,,,,,,,,,
0.0119,1.1349905601006923e-05,3.46,66000,,,,,,,,,,
0.0117,1.1284350744703168e-05,3.49,66500,,,,,,,,,,
0.0103,1.1218795888399414e-05,3.51,67000,,,,,,,,,,
0.0104,1.1153241032095658e-05,3.54,67500,,,,,,,,,,
0.012,1.1087686175791902e-05,3.57,68000,,,,,,,,,,
0.0112,1.102213131948815e-05,3.59,68500,,,,,,,,,,
0.0103,1.0956576463184394e-05,3.62,69000,,,,,,,,,,
0.0108,1.0891021606880638e-05,3.64,69500,,,,,,,,,,
0.0121,1.0825466750576883e-05,3.67,70000,,,,,,,,,,
0.0107,1.075991189427313e-05,3.7,70500,,,,,,,,,,
