loss,learning_rate,epoch,step,eval_loss,eval_bleu,eval_precisions,eval_brevity_penalty,eval_length_ratio,eval_translation_length,eval_reference_length,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.0425,1.873096446700508e-05,0.25,500,,,,,,,,,,,,,,,
0.0277,1.7461928934010152e-05,0.51,1000,,,,,,,,,,,,,,,
0.0262,1.619289340101523e-05,0.76,1500,,,,,,,,,,,,,,,
,,1.0,1970,0.0224835854023695,0.9993347889472493,"[0.9995643838400677, 0.9994097296077494, 0.9992570917010729, 0.9991080085765759]",1.0,1.000001141852313,5254626.0,5254620.0,463.1577,17.009,1.064,,,,,
0.025,1.4923857868020306e-05,1.02,2000,,,,,,,,,,,,,,,
0.0221,1.3654822335025382e-05,1.27,2500,,,,,,,,,,,,,,,
0.0209,1.2385786802030457e-05,1.52,3000,,,,,,,,,,,,,,,
0.0209,1.1116751269035532e-05,1.78,3500,,,,,,,,,,,,,,,
,,2.0,3940,0.020791174843907356,0.9993347889472493,"[0.9995643838400677, 0.9994097296077494, 0.9992570917010729, 0.9991080085765759]",1.0,1.000001141852313,5254626.0,5254620.0,462.9586,17.017,1.065,,,,,
0.0216,9.84771573604061e-06,2.03,4000,,,,,,,,,,,,,,,
0.0201,8.578680203045686e-06,2.28,4500,,,,,,,,,,,,,,,
0.0181,7.309644670050762e-06,2.54,5000,,,,,,,,,,,,,,,
0.0209,6.040609137055839e-06,2.79,5500,,,,,,,,,,,,,,,
,,3.0,5910,0.020598160102963448,0.9993347889472493,"[0.9995643838400677, 0.9994097296077494, 0.9992570917010729, 0.9991080085765759]",1.0,1.000001141852313,5254626.0,5254620.0,464.0273,16.977,1.062,,,,,
0.0195,4.771573604060914e-06,3.05,6000,,,,,,,,,,,,,,,
0.0193,3.5025380710659903e-06,3.3,6500,,,,,,,,,,,,,,,
0.0186,2.233502538071066e-06,3.55,7000,,,,,,,,,,,,,,,
0.0182,9.644670050761422e-07,3.81,7500,,,,,,,,,,,,,,,
,,4.0,7880,0.020140377804636955,0.9993347889472493,"[0.9995643838400677, 0.9994097296077494, 0.9992570917010729, 0.9991080085765759]",1.0,1.000001141852313,5254626.0,5254620.0,464.0426,16.977,1.062,,,,,
,,4.0,7880,,,,,,,,,,,2875.0265,43.838,2.741,1.06604618351616e+16,0.02252448845635816
,,4.0,7880,0.019891878589987755,0.9993496017907559,"[0.9995738395654412, 0.9994237662055272, 0.999273852346923, 0.9991270046164142]",1.0,1.0000004567638041,6567949.0,6567946.0,579.271,16.999,1.063,,,,,
,,4.0,7880,0.019891878589987755,0.9993496017907559,"[0.9995738395654412, 0.9994237662055272, 0.999273852346923, 0.9991270046164142]",1.0,1.0000004567638041,6567949.0,6567946.0,580.2081,16.971,1.062,,,,,
