loss,learning_rate,epoch,step,eval_loss,eval_bleu,eval_precisions,eval_brevity_penalty,eval_length_ratio,eval_translation_length,eval_reference_length,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.0553,1.963935372186959e-05,0.07,500,,,,,,,,,,,,,,,
0.0377,1.9278707443739183e-05,0.14,1000,,,,,,,,,,,,,,,
0.0352,1.8918061165608773e-05,0.22,1500,,,,,,,,,,,,,,,
0.0322,1.8557414887478362e-05,0.29,2000,,,,,,,,,,,,,,,
0.0324,1.819676860934795e-05,0.36,2500,,,,,,,,,,,,,,,
0.0329,1.7836122331217543e-05,0.43,3000,,,,,,,,,,,,,,,
0.0304,1.7475476053087133e-05,0.5,3500,,,,,,,,,,,,,,,
0.0285,1.7114829774956725e-05,0.58,4000,,,,,,,,,,,,,,,
0.0277,1.6754183496826314e-05,0.65,4500,,,,,,,,,,,,,,,
0.0266,1.6393537218695904e-05,0.72,5000,,,,,,,,,,,,,,,
0.0275,1.6032890940565496e-05,0.79,5500,,,,,,,,,,,,,,,
0.0272,1.5672244662435085e-05,0.87,6000,,,,,,,,,,,,,,,
0.0254,1.5311598384304675e-05,0.94,6500,,,,,,,,,,,,,,,
,,1.0,6932,0.02614029310643673,0.9990786973919981,"[0.9993924705275752, 0.9991833473692966, 0.9989775542433695, 0.9987615276454925]",1.0,1.0000035686265816,18494576.0,18494510.0,1899.2396,14.6,0.912,,,,,
0.0273,1.4950952106174265e-05,1.01,7000,,,,,,,,,,,,,,,
0.0259,1.4590305828043856e-05,1.08,7500,,,,,,,,,,,,,,,
0.0264,1.4229659549913445e-05,1.15,8000,,,,,,,,,,,,,,,
0.0259,1.3869013271783036e-05,1.23,8500,,,,,,,,,,,,,,,
0.0247,1.3508366993652625e-05,1.3,9000,,,,,,,,,,,,,,,
0.0271,1.3147720715522216e-05,1.37,9500,,,,,,,,,,,,,,,
0.0257,1.2787074437391807e-05,1.44,10000,,,,,,,,,,,,,,,
0.0255,1.2426428159261396e-05,1.51,10500,,,,,,,,,,,,,,,
0.0259,1.2065781881130987e-05,1.59,11000,,,,,,,,,,,,,,,
0.0243,1.1705135603000576e-05,1.66,11500,,,,,,,,,,,,,,,
0.0247,1.1344489324870169e-05,1.73,12000,,,,,,,,,,,,,,,
0.0243,1.098384304673976e-05,1.8,12500,,,,,,,,,,,,,,,
0.0238,1.0623196768609349e-05,1.88,13000,,,,,,,,,,,,,,,
0.0236,1.026255049047894e-05,1.95,13500,,,,,,,,,,,,,,,
,,2.0,13864,0.02510804496705532,0.9990998008720108,"[0.9994078263810968, 0.9992018670430384, 0.9989992472525804, 0.9987903684849032]",1.0,1.0000035686265816,18494576.0,18494510.0,1900.9728,14.586,0.912,,,,,
0.0255,9.90262550490479e-06,2.02,14000,,,,,,,,,,,,,,,
0.0231,9.54197922677438e-06,2.09,14500,,,,,,,,,,,,,,,
0.0236,9.18133294864397e-06,2.16,15000,,,,,,,,,,,,,,,
0.0239,8.820686670513561e-06,2.24,15500,,,,,,,,,,,,,,,
0.0243,8.460761684939412e-06,2.31,16000,,,,,,,,,,,,,,,
0.0241,8.100115406809003e-06,2.38,16500,,,,,,,,,,,,,,,
0.0236,7.739469128678592e-06,2.45,17000,,,,,,,,,,,,,,,
0.0231,7.379544143104443e-06,2.52,17500,,,,,,,,,,,,,,,
0.0241,7.018897864974033e-06,2.6,18000,,,,,,,,,,,,,,,
0.0247,6.658251586843625e-06,2.67,18500,,,,,,,,,,,,,,,
0.0241,6.297605308713215e-06,2.74,19000,,,,,,,,,,,,,,,
0.0231,5.936959030582805e-06,2.81,19500,,,,,,,,,,,,,,,
0.0251,5.576312752452395e-06,2.89,20000,,,,,,,,,,,,,,,
0.0228,5.215666474321985e-06,2.96,20500,,,,,,,,,,,,,,,
,,3.0,20796,0.02414429932832718,0.9991031489258265,"[0.9994099891773675, 0.9992047912020503, 0.9990029892966693, 0.9987949308775784]",1.0,1.0000035686265816,18494576.0,18494510.0,1887.0851,14.694,0.918,,,,,
0.0238,4.855020196191575e-06,3.03,21000,,,,,,,,,,,,,,,
0.0234,4.494373918061166e-06,3.1,21500,,,,,,,,,,,,,,,
0.0227,4.133727639930756e-06,3.17,22000,,,,,,,,,,,,,,,
0.0234,3.7730813618003466e-06,3.25,22500,,,,,,,,,,,,,,,
0.0223,3.4131563762261975e-06,3.32,23000,,,,,,,,,,,,,,,
0.0235,3.053231390652049e-06,3.39,23500,,,,,,,,,,,,,,,
0.0231,2.692585112521639e-06,3.46,24000,,,,,,,,,,,,,,,
0.0233,2.331938834391229e-06,3.53,24500,,,,,,,,,,,,,,,
