loss,learning_rate,epoch,step,eval_loss,eval_bleu,eval_precisions,eval_brevity_penalty,eval_length_ratio,eval_translation_length,eval_reference_length,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.1257,1.9189101524489135e-05,0.16,500,,,,,,,,,,,,,,,
0.0505,1.837820304897827e-05,0.32,1000,,,,,,,,,,,,,,,
0.0427,1.7567304573467402e-05,0.49,1500,,,,,,,,,,,,,,,
0.0407,1.6756406097956535e-05,0.65,2000,,,,,,,,,,,,,,,
0.0382,1.5945507622445672e-05,0.81,2500,,,,,,,,,,,,,,,
0.0349,1.5134609146934804e-05,0.97,3000,,,,,,,,,,,,,,,
,,1.0,3083,0.03270567208528519,0.9989801588150596,"[0.9993471545104948, 0.9991044450408857, 0.9988732017145775, 0.9986445597707978]",0.9999878405378959,0.9999878406118216,8223998.0,8224098.0,840.1481,14.676,0.918,,,,,
0.0325,1.4323710671423937e-05,1.14,3500,,,,,,,,,,,,,,,
0.0296,1.3512812195913073e-05,1.3,4000,,,,,,,,,,,,,,,
0.0298,1.2701913720402206e-05,1.46,4500,,,,,,,,,,,,,,,
0.0313,1.189101524489134e-05,1.62,5000,,,,,,,,,,,,,,,
0.0291,1.1080116769380473e-05,1.78,5500,,,,,,,,,,,,,,,
0.0284,1.026921829386961e-05,1.95,6000,,,,,,,,,,,,,,,
,,2.0,6166,0.028079340234398842,0.9990186869557518,"[0.9993641865198788, 0.9991280818531427, 0.9989024873619572, 0.9986801219476446]",1.0,1.0000014591265813,8224110.0,8224098.0,840.5916,14.668,0.917,,,,,
0.0273,9.458319818358742e-06,2.11,6500,,,,,,,,,,,,,,,
0.0274,8.647421342847877e-06,2.27,7000,,,,,,,,,,,,,,,
0.0248,7.83652286733701e-06,2.43,7500,,,,,,,,,,,,,,,
0.0255,7.025624391826144e-06,2.59,8000,,,,,,,,,,,,,,,
0.0251,6.214725916315277e-06,2.76,8500,,,,,,,,,,,,,,,
0.025,5.403827440804412e-06,2.92,9000,,,,,,,,,,,,,,,
,,3.0,9249,0.026593968272209167,0.999063403583038,"[0.999393976977448, 0.9991676591433283, 0.9989521248376415, 0.9987399720536648]",1.0,1.0000014591265813,8224110.0,8224098.0,837.0495,14.73,0.921,,,,,
0.0236,4.592928965293546e-06,3.08,9500,,,,,,,,,,,,,,,
0.0234,3.783652286733701e-06,3.24,10000,,,,,,,,,,,,,,,
0.0228,2.972753811222835e-06,3.41,10500,,,,,,,,,,,,,,,
0.023,2.161855335711969e-06,3.57,11000,,,,,,,,,,,,,,,
0.0232,1.350956860201103e-06,3.73,11500,,,,,,,,,,,,,,,
0.0232,5.400583846902368e-07,3.89,12000,,,,,,,,,,,,,,,
,,4.0,12332,0.025932185351848602,0.9990794069748969,"[0.9994039476612059, 0.9991820287440726, 0.9989702967881993, 0.9987614692346026]",1.0,1.0000014591265813,8224110.0,8224098.0,834.8096,14.77,0.924,,,,,
,,4.0,12332,,,,,,,,,,,5005.2091,39.415,2.464,1.900736024592384e+16,0.033372000444642995
,,4.0,12332,0.025524038821458817,0.99902375874718,"[0.9993631614738274, 0.9991331758671018, 0.9989096207722317, 0.9986892030589105]",1.0,1.0000055445237905,10280471.0,10280414.0,1042.3312,14.787,0.925,,,,,
,,4.0,12332,0.025524038821458817,0.99902375874718,"[0.9993631614738274, 0.9991331758671018, 0.9989096207722317, 0.9986892030589105]",1.0,1.0000055445237905,10280471.0,10280414.0,1041.6333,14.797,0.925,,,,,
