loss,learning_rate,epoch,step,eval_loss,eval_bleu,eval_precisions,eval_brevity_penalty,eval_length_ratio,eval_translation_length,eval_reference_length,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.0772,1.9647092038396388e-05,0.07,500,,,,,,,,,,,,,,,
0.043,1.9294184076792775e-05,0.14,1000,,,,,,,,,,,,,,,
0.0391,1.894127611518916e-05,0.21,1500,,,,,,,,,,,,,,,
0.0357,1.8588368153585544e-05,0.28,2000,,,,,,,,,,,,,,,
0.0338,1.8235460191981934e-05,0.35,2500,,,,,,,,,,,,,,,
0.0323,1.7882552230378317e-05,0.42,3000,,,,,,,,,,,,,,,
0.0327,1.7529644268774707e-05,0.49,3500,,,,,,,,,,,,,,,
0.0325,1.717673630717109e-05,0.56,4000,,,,,,,,,,,,,,,
0.0309,1.6823828345567477e-05,0.64,4500,,,,,,,,,,,,,,,
0.0302,1.6470920383963863e-05,0.71,5000,,,,,,,,,,,,,,,
0.0306,1.611801242236025e-05,0.78,5500,,,,,,,,,,,,,,,
0.0283,1.5765104460756636e-05,0.85,6000,,,,,,,,,,,,,,,
0.0286,1.5412196499153023e-05,0.92,6500,,,,,,,,,,,,,,,
0.0288,1.5059288537549408e-05,0.99,7000,,,,,,,,,,,,,,,
,,1.0,7084,0.027302434667944908,0.9986919942241075,"[0.9991717217092883, 0.9988363694557448, 0.9985290383184006, 0.9982310927138942]",1.0,1.0000157149941362,18899445.0,18899148.0,1929.0873,14.688,0.918,,,,,
0.0274,1.4706380575945796e-05,1.06,7500,,,,,,,,,,,,,,,
0.0265,1.435347261434218e-05,1.13,8000,,,,,,,,,,,,,,,
0.0269,1.4000564652738566e-05,1.2,8500,,,,,,,,,,,,,,,
0.0268,1.3647656691134954e-05,1.27,9000,,,,,,,,,,,,,,,
0.0258,1.3294748729531339e-05,1.34,9500,,,,,,,,,,,,,,,
0.0275,1.2941840767927725e-05,1.41,10000,,,,,,,,,,,,,,,
0.0265,1.2588932806324112e-05,1.48,10500,,,,,,,,,,,,,,,
0.0268,1.2236024844720498e-05,1.55,11000,,,,,,,,,,,,,,,
0.0261,1.1883116883116883e-05,1.62,11500,,,,,,,,,,,,,,,
0.0245,1.1530208921513271e-05,1.69,12000,,,,,,,,,,,,,,,
0.0262,1.1177300959909656e-05,1.76,12500,,,,,,,,,,,,,,,
0.0256,1.0824392998306044e-05,1.84,13000,,,,,,,,,,,,,,,
0.0254,1.0471485036702429e-05,1.91,13500,,,,,,,,,,,,,,,
0.0268,1.0119282891022022e-05,1.98,14000,,,,,,,,,,,,,,,
,,2.0,14168,0.02527027018368244,0.998716798021123,"[0.9991884946886006, 0.9988588376624374, 0.9985564228198872, 0.9982636740716173]",1.0,1.0000157149941362,18899445.0,18899148.0,1926.3971,14.709,0.919,,,,,
0.0234,9.766374929418408e-06,2.05,14500,,,,,,,,,,,,,,,
0.0237,9.413466967814795e-06,2.12,15000,,,,,,,,,,,,,,,
0.0243,9.06055900621118e-06,2.19,15500,,,,,,,,,,,,,,,
0.0241,8.707651044607566e-06,2.26,16000,,,,,,,,,,,,,,,
0.0237,8.35544889892716e-06,2.33,16500,,,,,,,,,,,,,,,
0.0232,8.002540937323547e-06,2.4,17000,,,,,,,,,,,,,,,
0.0244,7.649632975719933e-06,2.47,17500,,,,,,,,,,,,,,,
0.0247,7.296725014116319e-06,2.54,18000,,,,,,,,,,,,,,,
